species;accession;code;incubator;petridish;mgr;syn
Luzula caespitosa;110821-03;110821-03;Fellfield;1;0.007032349;0.3
Luzula caespitosa;110821-03;110821-03;Fellfield;2;0.023529412;0.5
Luzula caespitosa;110821-03;110821-03;Fellfield;3;0.012269939;0.53571429
Luzula caespitosa;110821-03;110821-03;Fellfield;4;0.013333333;0.48888889
Luzula caespitosa;110821-03;110821-03;Snowbed;1;0.004065041;1
Luzula caespitosa;110821-03;110821-03;Snowbed;2;0.004065041;1
Luzula caespitosa;110821-03;110821-03;Snowbed;3;0.004065041;1
Luzula caespitosa;110821-03;110821-03;Snowbed;4;0.004050633;0.75
Luzula caespitosa;110821-03;110821-03b;Fellfield;5;;
Luzula caespitosa;110821-03;110821-03b;Fellfield;6;0.004464286;0.74285714
Luzula caespitosa;110821-03;110821-03b;Snowbed;5;0.003981305;0.91304348
Luzula caespitosa;110821-03;110821-03b;Snowbed;6;0.004032997;0.90909091
